model,feature,mean_abs_shap,mean_shap,positive_share,sample_rows,mean_base_value,rank
LightGBM,is_imputed,7.511801090852481,3.4954820196340313,0.7378,5000,15.274780671181599,1
LightGBM,roll_mean_7,6.245211590614661,-0.320632950972788,0.237,5000,15.274780671181599,2
LightGBM,lag_1,4.534448740833989,-0.23898656088413972,0.2222,5000,15.274780671181599,3
LightGBM,weekday,2.7250005233333026,0.2213631358332075,0.365,5000,15.274780671181599,4
LightGBM,month,0.9886870591623396,0.9716306016310673,0.991,5000,15.274780671181599,5
LightGBM,lag_7,0.7723821967568248,-0.23473956619274772,0.1502,5000,15.274780671181599,6
LightGBM,lag_14,0.317384566684628,-0.014763579239200979,0.3516,5000,15.274780671181599,7
LightGBM,roll_mean_14,0.20571706997937095,0.10201390606737003,0.8644,5000,15.274780671181599,8
LightGBM,roll_mean_30,0.06610410220467554,0.009827450955694414,0.5222,5000,15.274780671181599,9
LightGBM,was_imputed,0.0,0.0,0.0,5000,15.274780671181599,10
LightGBM,is_weekend,0.0,0.0,0.0,5000,15.274780671181599,11
CatBoost,is_imputed,4.428644193607283,1.5513322579621671,0.7378,5000,15.274090925253043,1
CatBoost,roll_mean_7,3.3782279781574367,-0.24234459079419002,0.2698,5000,15.274090925253043,2
CatBoost,lag_1,3.3462779936604066,0.276959368518042,0.2772,5000,15.274090925253043,3
CatBoost,was_imputed,3.1828260500535785,1.1065463544452514,0.7378,5000,15.274090925253043,4
CatBoost,weekday,2.153958802590781,0.2746196149114354,0.5088,5000,15.274090925253043,5
CatBoost,lag_7,1.2861190152259414,-0.030587321219579473,0.152,5000,15.274090925253043,6
CatBoost,is_weekend,1.0047367500398912,0.05356228975195293,0.307,5000,15.274090925253043,7
CatBoost,roll_mean_14,0.9121763832042096,-0.033744323264826195,0.2948,5000,15.274090925253043,8
CatBoost,month,0.7734260053973775,0.7729393525619337,0.9994,5000,15.274090925253043,9
CatBoost,lag_14,0.5046834523794655,-0.1422323704814665,0.0456,5000,15.274090925253043,10
CatBoost,roll_mean_30,0.3522202457716364,0.005318049976490897,0.2138,5000,15.274090925253043,11
