sku,data,realized,is_imputed,lgbm_fitted,cb_fitted,lgbm_forecast,cb_forecast
123,2024-01-14,17.0,False,20.900546970506838,17.867582959676643,,
123,2024-01-15,25.0,False,16.774060460169682,16.688526794202428,,
123,2024-01-16,17.0,False,21.58615315145148,19.964283066133113,,
123,2024-01-17,13.0,False,18.397005774233385,18.615018085563804,,
123,2024-01-18,22.0,False,16.981880391916754,16.833219571820084,,
123,2024-01-19,19.0,False,21.9474668377282,21.39537745044066,,
123,2024-01-20,19.0,False,26.80241174273086,25.879265592215503,,
123,2024-01-21,0.0,True,-0.0418851242716412,1.5085482555126593,,
123,2024-01-22,22.0,False,16.898351925024958,15.37408166759834,,
123,2024-01-23,19.0,False,16.528657208250873,17.701511726543227,,
123,2024-01-24,20.0,False,17.253196211435263,17.988487881229315,,
123,2024-01-25,21.0,False,17.801804226914513,18.83655147767802,,
123,2024-01-26,21.0,False,20.040522468692057,20.55641193667486,,
123,2024-01-27,24.0,False,25.321697067812845,26.813668024928283,,
123,2024-01-28,17.0,False,16.305825604034872,16.171827942076202,,
123,2024-01-29,0.0,True,0.19127591064298302,1.7244620090281764,,
123,2024-01-30,23.0,False,15.22995148163966,15.299537635412472,,
123,2024-01-31,17.0,False,18.734094277472376,19.771900591541108,,
123,2024-02-01,28.0,False,17.00969066389598,17.71283915459005,,
123,2024-02-02,21.0,False,22.822195072025007,22.396808783763156,,
123,2024-02-03,33.0,False,29.02371898266266,27.071382413909426,,
123,2024-02-04,20.0,False,17.841111505394764,18.642538482596255,,
123,2024-02-05,24.0,False,18.32997621308516,17.562311143279963,,
123,2024-02-06,24.0,False,19.905989432062015,20.56556751528011,,
123,2024-02-07,31.0,False,22.15592787040973,23.046099408424325,,
123,2024-02-08,23.0,False,26.107725804044552,25.5198540972478,,
123,2024-02-09,25.0,False,25.29241474776169,24.567686730683892,,
123,2024-02-10,28.0,False,36.4710128985401,35.46665777602063,,
123,2024-02-11,11.0,False,19.647430838380913,19.1847438889361,,
123,2024-02-12,18.0,False,19.428557638058418,18.368544001544155,,
123,2024-02-13,11.0,False,19.18382120672232,19.410289832900553,,
123,2024-02-14,15.0,False,18.0922809407171,18.038828600833213,,
