model,level,rmse,mae,mape,wmape,r2
lgbm,granular,7.811415691738551,2.9708396018641117,16.213734197184998,19.449311029643642,0.9631759154876885
lgbm,aggregate,3050.288541138267,2110.394269946974,5.471137207253645,5.150293071883756,0.9612587860286518
catboost,granular,7.26416873984058,3.1833172156499354,26.59869150105079,20.840346477926992,0.9681547760956566
catboost,aggregate,3444.4884227871694,2482.9131297057074,6.431938659256674,6.059403435706743,0.9505984201613915
reconciled,granular,7.299259760204431,3.042721228576602,20.517589540207407,19.91990126762577,0.9678463635162216
reconciled,aggregate,3221.5631630415396,2281.461934426957,5.905939264575375,5.567773643993501,0.9567859788383013
