data,realized_total,lgbm_total,catboost_total,reconciled_total
2024-03-19,31765.0,32504.087221220176,33024.200627601276,32764.143924410728
2024-03-20,34375.0,34933.45433746926,34508.835575599725,34721.144956534496
2024-03-21,34091.0,37448.96872756132,37284.883387789334,37366.92605767533
2024-03-22,37856.0,41633.255935220826,41906.50066790688,41769.878301563855
2024-03-23,69979.0,76369.87258504139,78025.7414712866,77197.807028164
2024-03-24,35881.0,35241.58974660658,35632.92751031137,35437.25862845898
2024-03-25,26935.0,28009.724929218068,28904.65253427067,28457.18873174437
2024-03-26,28909.0,28516.799687588362,29237.68209546658,28877.240891527472
2024-03-27,34205.0,33379.9620188647,33152.30371743775,33266.132868151224
2024-03-28,45929.0,40049.92740962799,39637.162277392075,39843.54484351003
2024-03-29,29050.0,38853.2443953021,38775.42870097893,38814.33654814052
2024-03-30,79574.0,71983.68398557043,72708.43328409738,72346.0586348339
2024-03-31,20445.0,28632.885189006585,28890.324331526586,28761.604760266586
2024-04-01,27921.0,26956.67352467442,26796.07081087675,26876.372167775586
2024-04-02,29804.0,29149.6132723842,29602.03995919375,29375.826615788974
2024-04-03,31761.0,32011.029620809197,32113.7260734217,32062.377847115447
2024-04-04,35023.0,35893.162629149505,36262.850263087545,36078.006446118525
2024-04-05,52089.0,49304.245756510354,46095.37264563235,47699.80920107135
2024-04-06,93023.0,91859.84839172181,89924.68371399201,90892.26605285691
2024-04-07,43600.0,44018.32348781975,43327.34149465066,43672.8324912352
2024-04-08,31974.0,33150.41203362773,33404.987936973965,33277.699985300846
2024-04-09,0.0,33150.41203362773,33404.987936973965,33277.699985300846
2024-04-10,0.0,33047.40312314562,33371.96622040162,33209.68467177362
2024-04-11,0.0,35979.66486311875,35330.76067040166,35655.2127667602
2024-04-12,0.0,37773.66948190343,36606.40756539475,37190.03852364909
2024-04-13,0.0,47428.67950379208,42356.89847301107,44892.788988401575
2024-04-14,0.0,70305.30368777688,66812.74509523189,68559.02439150438
2024-04-15,0.0,34752.77983800679,32942.545110770945,33847.66247438887
